24	684	-1
2	526	-1
24	148	1
2	8	-1
11	157	1
28	664	-1
3	3	1
193	454	1
138	502	1
29	678	-1
18	356	1
178	227	-1
155	536	-1
12	103	1
2	65	-1
153	339	1
26	568	-1
19	287	1
37	221	1
26	485	1
28	353	1
26	143	1
2	29	-1
4	346	1
3	260	-1
178	624	-1
26	479	1
28	161	1
57	706	1
2	55	-1
26	478	1
70	337	1
3	4	1
26	678	-1
2	20	-1
4	610	1
27	142	-1
3	258	-1
2	189	-1
28	678	-1
1	92	-1
7	353	-1
194	712	1
84	349	1
190	751	1
7	245	-1
90	336	-1
172	387	-1
31	331	-1
0	348	1
4	340	1
176	714	-1
7	734	-1
22	200	1
19	284	1
1	278	1
4	558	1
54	643	1
19	246	-1
182	646	1
2	553	1
103	283	1
24	154	1
29	681	-1
180	631	1
7	237	-1
132	521	-1
24	695	-1
2	211	-1
57	301	1
158	538	1
2	52	-1
109	125	1
34	587	1
28	659	-1
13	108	-1
28	665	-1
4	502	1
107	567	1
73	352	-1
37	358	-1
189	353	-1
2	214	1
47	575	1
7	108	1
170	388	1
18	442	1
66	714	-1
109	285	1
55	572	-1
12	698	1
176	330	-1
18	632	1
26	461	1
3	37	1
66	328	1
176	713	-1
5	273	-1
17	608	1
26	176	1
21	531	1
7	243	-1
120	336	1
61	166	-1
51	356	1
21	402	1
2	269	-1
3	5	1
19	718	1
62	147	1
23	219	-1
72	527	1
18	286	1
135	506	1
87	125	1
58	351	1
110	125	1
1	14	1
195	712	1
26	176	-1
29	684	-1
17	603	1
2	249	-1
29	370	-1
11	698	1
2	557	1
3	277	-1
26	325	1
21	748	1
142	527	-1
24	692	-1
3	23	1
2	596	-1
24	685	-1
19	125	-1
28	660	-1
2	15	-1
4	190	1
51	200	-1
21	353	-1
191	750	-1
5	9	-1
28	150	1
56	356	-1
21	573	1
177	604	1
1	36	-1
2	26	-1
65	157	1
24	354	-1
49	125	1
0	554	1
144	527	1
26	125	1
1	253	-1
181	331	1
2	217	1
21	366	-1
17	604	1
158	545	1
28	174	1
7	103	-1
13	102	-1
50	200	1
195	331	1
96	420	-1
